0,0,20,25,50,100,125,150,200,300,400,500,1000,0,20,25,50,100,125,150,200,300,400,500,1000
0,0.097,0.101,0.098,0.099,0.104,0.099,0.106,0.108,0.105,0.103,0.104,0.103,343,3390,4127,7001,12696,15315,16599,19708,25488,29425,32129,37238
15,0.097,0.101,0.098,0.098,0.102,0.099,0.106,0.107,0.104,0.103,0.104,0.103,343,3383,4098,6945,12610,15240,16496,19600,25390,29397,32123,37433
30,0.096,0.1,0.098,0.098,0.102,0.099,0.106,0.107,0.104,0.102,0.103,0.103,347,3363,4082,6920,12541,15156,16417,19496,25298,29290,31951,37316
45,0.096,0.1,0.098,0.098,0.103,0.099,0.106,0.108,0.104,0.103,0.104,0.103,343,3339,4054,6885,12473,15110,16343,19369,25150,29129,31819,37184
60,0.097,0.1,0.098,0.098,0.102,0.1,0.106,0.108,0.104,0.103,0.104,0.104,342,3322,4036,6859,12433,15036,16287,19301,25047,29012,31674,37071
75,0.1,0.101,0.098,0.098,0.103,0.1,0.106,0.108,0.104,0.103,0.104,0.104,339,3306,4022,6835,12396,14994,16233,19229,24995,28897,31593,36924
90,0.099,0.101,0.098,0.098,0.103,0.1,0.106,0.108,0.105,0.103,0.104,0.104,341,3303,4015,6817,12366,14978,16190,19190,24919,28829,31519,36853
105,0.099,0.101,0.098,0.098,0.103,0.1,0.106,0.108,0.104,0.103,0.104,0.105,338,3297,4006,6795,12332,14928,16160,19161,24865,28729,31403,36742
120,0.098,0.1,0.098,0.098,0.103,0.1,0.106,0.108,0.104,0.103,0.104,0.105,341,3293,4004,6801,12301,14916,16122,19124,24783,28687,31346,36687
135,0.098,0.1,0.098,0.098,0.103,0.1,0.106,0.108,0.105,0.103,0.104,0.106,337,3284,4002,6790,12282,14893,16094,19080,24802,28682,31373,36636
150,0.097,0.1,0.098,0.098,0.103,0.1,0.106,0.108,0.105,0.103,0.104,0.105,339,3286,3994,6785,12295,14889,16084,19063,24759,28658,31332,36607
165,0.097,0.1,0.098,0.098,0.103,0.1,0.106,0.108,0.105,0.103,0.104,0.105,338,3283,3999,6780,12284,14871,16072,19055,24741,28629,31307,36571
180,0.097,0.1,0.097,0.098,0.103,0.1,0.106,0.107,0.104,0.103,0.103,0.105,339,3283,3990,6778,12269,14853,16067,19007,24700,28597,31282,36554
195,0.098,0.1,0.097,0.098,0.103,0.1,0.105,0.107,0.104,0.103,0.104,0.105,341,3279,3987,6773,12275,14845,16057,19020,24706,28582,31279,36528
210,0.096,0.1,0.097,0.097,0.102,0.1,0.105,0.107,0.104,0.103,0.103,0.105,341,3282,3993,6769,12263,14854,16056,19043,24676,28581,31217,36535
225,0.098,0.1,0.097,0.098,0.102,0.1,0.105,0.107,0.104,0.103,0.104,0.105,341,3270,3980,6752,12234,14813,16044,18992,24650,28498,31193,36432
240,0.096,0.1,0.097,0.098,0.102,0.1,0.105,0.107,0.104,0.103,0.104,0.105,343,3279,3987,6769,12262,14848,16034,19020,24665,28608,31247,36508
255,0.097,0.1,0.097,0.098,0.102,0.1,0.106,0.107,0.104,0.103,0.103,0.105,345,3276,3991,6758,12252,14826,16016,18999,24659,28550,31235,36480
270,0.097,0.099,0.097,0.098,0.103,0.1,0.105,0.107,0.104,0.103,0.103,0.105,347,3278,3982,6756,12227,14792,16011,18979,24631,28476,31190,36341
285,0.097,0.1,0.097,0.097,0.102,0.1,0.105,0.107,0.104,0.103,0.103,0.105,348,3278,3982,6757,12246,14825,16012,18960,24605,28504,31173,36420
300,0.097,0.1,0.097,0.097,0.102,0.1,0.105,0.107,0.104,0.103,0.103,0.105,349,3274,3983,6749,12214,14796,15974,18969,24597,28472,31133,36329
315,0.097,0.099,0.097,0.098,0.102,0.1,0.105,0.106,0.104,0.103,0.103,0.105,354,3271,3985,6726,12216,14771,16006,18947,24577,28456,31132,36316
330,0.096,0.099,0.097,0.097,0.102,0.1,0.104,0.106,0.103,0.103,0.103,0.106,356,3265,3977,6739,12208,14770,15986,18949,24590,28410,31129,36322
345,0.096,0.099,0.097,0.097,0.102,0.1,0.104,0.106,0.104,0.103,0.103,0.105,358,3273,3975,6730,12222,14798,15996,18948,24606,28458,31119,36346
360,0.096,0.099,0.097,0.097,0.102,0.1,0.105,0.106,0.103,0.103,0.103,0.105,361,3273,3981,6726,12206,14762,15978,18933,24573,28421,31091,36265
375,0.096,0.1,0.098,0.097,0.102,0.1,0.104,0.106,0.103,0.103,0.103,0.105,362,3265,3979,6728,12217,14789,15951,18920,24558,28435,31078,36336
390,0.097,0.099,0.097,0.097,0.102,0.1,0.105,0.106,0.104,0.103,0.103,0.105,365,3270,3971,6726,12228,14759,15967,18939,24533,28396,31077,36317
