0.728,0.723,0.72,0.589,0.59,0.584,0.576,0.571,0.562,717,696,702,705,714,716,583,587,695
0.716,0.727,0.728,0.637,0.635,0.629,0.636,0.663,0.653,2293,2161,2205,29313,28544,29251,7919,8623,8599
0.786,0.805,0.729,0.736,0.732,0.731,0.612,0.606,0.617,622,617,1012,542,556,564,770,745,765
0.63,0.628,0.623,0.629,0.621,0.708,0.606,0.609,0.607,1457,1438,1402,1582,1559,2141,3323,3175,3127
1.018,1.026,1.015,1.011,0.989,0.953,0.885,0.888,0.906,592,588,584,574,584,601,492,507,511
0.99,1.014,1.019,0.98,0.994,0.987,0.785,0.83,0.733,1062,1068,1079,11616,11599,11112,10053,10414,9197
0.096,0.093,0.099,0.107,0.106,0.104,0.103,0.105,0.108,608,540,535,537,539,541,409,408,416
0.099,0.095,0.097,0.094,0.105,0.108,0.104,0.106,0.109,407,405,416,405,305,330,467,486,490
