0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.25,0.25,0.25,0.5,0.5,0.5,1,1,1,2,2,2,2.5,2.5,2.5,5,5,5,10,10,10,20,20,20,25,25,25,30,30,30,40,40,40,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.25,0.25,0.25,0.5,0.5,0.5,1,1,1,2,2,2,2.5,2.5,2.5,5,5,5,10,10,10,20,20,20,25,25,25,30,30,30,40,40,40
0.588,0.57,0.589,0.611,0.592,0.821,0.626,1.234,0.598,0.601,0.6,1.226,0.44,0.43,1.166,0.565,0.562,1.159,0.61,0.588,0.587,0.601,0.573,0.566,0.532,0.52,0.536,0.514,0.506,0.514,0.481,0.495,0.461,0.458,0.464,0.466,0.516,0.506,0.482,0.487,0.454,0.428,575,566,643,570,568,715,554,695,622,568,564,838,597,585,950,581,559,794,585,555,619,621,539,621,766,738,857,773,716,810,744,689,746,727,671,710,717,653,688,683,627,649
0.589,0.911,0.579,0.827,0.568,0.622,0.611,0.625,0.578,0.6,0.593,0.589,1.226,1.249,0.456,0.565,1.11,0.563,0.59,0.588,0.571,0.561,0.588,0.555,1.187,1.055,0.5,0.56,0.485,0.499,0.495,0.504,0.483,0.519,0.465,0.467,0.469,0.493,0.468,0.458,0.395,0.435,21312,50603,21321,40353,20908,24041,23249,24074,21146,22098,22123,21946,83732,81720,20463,21662,64118,21184,23201,23178,22077,22083,23409,22636,74912,70976,17999,22029,17024,17956,17650,17209,16097,17410,14566,14919,15048,15209,14149,13552,8847,12227
0.652,0.648,0.584,0.615,0.61,0.59,0.661,0.637,0.612,0.635,0.616,0.594,0.44,0.424,0.424,0.627,0.578,0.602,0.64,0.637,0.629,0.624,0.621,0.575,0.569,0.563,0.577,0.569,0.563,0.577,0.571,0.511,0.573,0.517,0.507,0.57,0.496,0.526,0.566,0.482,0.447,0.53,3204,3259,2869,3861,3852,3704,3608,3619,3417,4397,4335,4153,5407,5261,5215,7765,7327,7600,10613,11180,11018,12244,11940,11009,13550,13878,14147,18742,18600,18735,23220,20704,22858,22175,21531,24164,21265,22052,24434,18532,17294,21123
0.126,0.138,0.118,0.126,0.138,0.118,0.126,0.138,0.118,0.122,0.118,0.117,0.131,0.124,0.121,0.122,0.121,0.12,0.127,0.121,0.121,0.123,0.122,0.121,0.134,0.131,0.133,0.139,0.136,0.14,0.143,0.149,0.145,0.148,0.148,0.153,0.155,0.152,0.16,0.161,0.161,0.163,501,457,455,486,435,426,489,449,435,496,445,434,541,511,495,513,445,439,498,438,432,513,443,438,624,590,585,622,586,576,611,571,573,591,571,561,577,567,561,568,546,541
