0,0,0,0.4,0.4,0.4,0.5,0.5,0.5,0.8,0.8,0.8,1,1,1,1.25,1.25,1.25,1.5,1.5,1.5,1.75,1.75,1.75,2,2,2,2.5,2.5,2.5,3,3,3,4,4,4,0,0,0,0.4,0.4,0.4,0.5,0.5,0.5,0.8,0.8,0.8,1,1,1,1.25,1.25,1.25,1.5,1.5,1.5,1.75,1.75,1.75,2,2,2,2.5,2.5,2.5,3,3,3,4,4,4
0.486,0.504,0.51,0.482,0.462,0.48,0.457,0.472,0.464,0.462,0.445,0.471,0.494,0.487,0.475,0.486,0.996,0.5,0.472,0.471,0.472,0.492,0.504,0.472,0.533,0.494,0.511,0.489,0.993,0.488,0.487,0.483,0.478,0.471,0.479,0.462,495,490,485,486,487,486,483,489,490,481,484,492,482,484,475,479,713,481,479,477,483,476,474,468,593,549,537,522,777,525,536,538,540,525,523,522
0.507,0.496,0.484,0.503,0.513,0.523,0.482,0.503,0.484,0.531,0.509,0.51,0.502,0.493,0.51,0.508,0.498,0.496,0.475,0.487,0.474,0.502,0.474,0.497,0.493,0.49,0.481,0.476,0.491,0.485,0.479,0.477,0.494,0.467,0.447,0.478,2956,2944,2868,2976,3019,3069,3001,3079,3036,3120,3064,2903,2943,2896,2874,2921,2944,2890,2852,2948,2906,2980,2828,2950,3042,2943,2809,2846,2937,2894,2849,2819,2960,2806,2655,2824
0.097,0.097,0.097,0.098,0.098,0.098,0.096,0.096,0.096,0.099,0.099,0.099,0.097,0.097,0.097,0.095,0.095,0.095,0.099,0.099,0.099,0.1,0.1,0.1,0.096,0.096,0.096,0.099,0.099,0.099,0.097,0.097,0.097,0.096,0.096,0.096,440,440,440,435,435,435,429,429,429,428,428,428,429,429,429,436,436,436,441,441,441,438,438,438,423,423,423,428,428,428,437,437,437,478,478,478
