0.684,0.657,0.695,38904,36217,39057
0.116,0.12,0.118,653,659,668
0.834,0.902,0.91,8020,7900,7996
0.373,0.377,0.373,5580,5560,5587
0.495,0.647,0.404,19041,31994,20676
0.095,0.129,0.102,388,529,452
0.77,0.771,0.774,19087,18672,19625
0.096,0.093,0.099,608,540,535
0.768,0.734,0.753,3542,3247,3199
0.096,0.093,0.099,608,540,535
0.626,0.61,0.603,3502,3283,3254
0.099,0.095,0.097,407,405,416
0.468,0.468,0.462,5698,5589,5550
0.092,0.092,0.094,448,443,439
