0,0,0,1,1,1,5,5,5,10,10,10,15,15,15,20,20,20,25,25,25,50,50,50,100,100,100,125,125,125,150,150,150,200,200,200,0,0,0,1,1,1,5,5,5,10,10,10,15,15,15,20,20,20,25,25,25,50,50,50,100,100,100,125,125,125,150,150,150,200,200,200
0.513,0.487,0.47,0.517,0.491,0.475,0.586,0.511,0.488,0.589,0.507,0.526,0.518,0.515,0.509,0.516,0.516,0.528,0.539,0.526,0.537,0.541,0.546,0.546,0.528,0.499,0.502,0.492,0.494,0.501,0.487,0.482,0.483,0.489,0.486,0.47,653,596,583,698,710,709,778,756,706,661,653,765,471,470,467,468,477,473,480,474,480,459,457,461,528,480,463,449,446,448,450,447,448,424,420,426
0.49,0.514,0.487,0.562,0.537,0.536,0.473,0.513,0.526,0.527,0.52,0.512,0.506,0.488,0.498,0.496,0.485,0.498,0.474,0.459,0.475,0.48,0.489,0.481,0.55,0.533,0.537,0.506,0.494,0.505,0.502,0.48,0.501,0.506,0.515,0.487,3039,3101,3031,3739,3525,3404,3948,3992,4282,6026,5207,5485,7149,6190,6296,7934,7801,8058,9272,9226,9572,19144,19511,20260,38574,41168,40508,53018,51950,53285,55817,55174,56782,57085,57969,55523
0.102,0.102,0.102,0.096,0.096,0.096,0.099,0.099,0.099,0.095,0.095,0.095,0.095,0.095,0.095,0.097,0.097,0.097,0.098,0.098,0.098,0.099,0.099,0.099,0.101,0.101,0.101,0.102,0.102,0.102,0.099,0.099,0.099,0.102,0.102,0.102,452,452,452,413,413,413,416,416,416,410,410,410,412,412,412,406,406,406,404,404,404,392,392,392,360,360,360,347,347,347,341,341,341,337,337,337
0,0,0,10,10,10,20,20,20,30,30,30,50,50,50,100,100,100,150,150,150,200,200,200,250,250,250,300,300,300,350,350,350,400,400,400,0,0,0,10,10,10,20,20,20,30,30,30,50,50,50,100,100,100,150,150,150,200,200,200,250,250,250,300,300,300,350,350,350,400,400,400
0.534,0.507,0.505,0.491,0.499,0.496,0.486,0.504,0.496,0.509,0.496,0.501,0.512,0.495,0.47,0.47,0.464,0.462,0.461,0.451,0.464,0.45,0.45,0.448,0.43,0.428,0.424,0.406,0.401,0.408,0.39,0.4,0.401,0.395,0.406,0.381,17954,17346,17182,16215,16336,16514,16177,17059,16280,15800,15469,15838,15782,15183,14761,13420,13417,13162,12598,12357,12756,11990,11923,12257,11514,11301,11185,10871,10723,10948,10293,10539,10651,10274,10108,10272
0.559,0.549,0.533,0.549,0.556,0.554,0.543,0.526,0.533,0.528,0.504,0.517,0.518,0.527,0.529,0.477,0.477,0.486,0.457,0.452,0.453,0.419,0.451,0.448,0.435,0.45,0.426,0.424,0.415,0.415,0.435,0.399,0.378,0.375,0.376,0.378,30738,30012,28102,30227,30613,30023,29240,28861,29642,27059,25523,24710,25171,25737,25389,19376,18684,19985,14446,13925,14302,10875,11220,10226,9069,9659,8650,6800,6618,7170,5893,5540,5414,4602,4652,4498
0.099,0.099,0.099,0.098,0.098,0.098,0.1,0.1,0.1,0.099,0.099,0.099,0.104,0.104,0.104,0.102,0.102,0.102,0.106,0.106,0.106,0.105,0.105,0.105,0.109,0.109,0.109,0.112,0.112,0.112,0.113,0.113,0.113,0.117,0.117,0.117,425,425,425,418,418,418,412,412,412,407,407,407,399,399,399,375,375,375,351,351,351,343,343,343,322,322,322,309,309,309,297,297,297,290,290,290
