0.478,0.5,0.518,0.508,0.56,0.615,833,644,639,616,611,619
0.45,1.201,0.483,0.494,0.476,0.539,20537,98623,21750,24052,24559,23570
0.54,0.543,0.509,0.56,0.562,0.56,2580,2664,2504,12328,12480,12409
0.485,0.486,0.493,0.542,0.52,0.547,2859,2954,2982,19462,18747,19268
0.57,0.571,0.568,0.573,0.599,0.593,2893,2844,2902,16990,17265,17402
1,1,1,1,1,1,0,0,0,0,0,0
0.602,0.559,0.577,0.662,0.612,0.641,2989,2796,3000,67833,66885,67629
0.552,0.565,0.584,0.594,0.547,0.614,3044,2861,3103,69012,62787,71038
0.124,0.122,0.125,0.13,0.129,0.137,526,493,500,507,514,511
