165,0.4,0.367,0.36,0.375,0.363,0.359,0.375,0.365,0.357,0.351,0.364,0.36,0.372,0.355,0.361,0.353,0.34,0.348,0.342,0.335,0.336,0.331,0.336,0.329,0.326,0.304,0.3,0.293,0.291,0.294,0.288,0.292,0.283,0.27,0.267,0.269,1452,1405,1339,1463,1417,1421,1695,1707,1674,2339,2213,2282,3237,2810,2714,3257,3082,3176,3649,3591,3651,6155,6417,6282,8276,7674,7267,7112,6954,7316,7313,7448,6834,6087,6238,6281
180,0.42,0.389,0.388,0.407,0.396,0.394,0.413,0.403,0.408,0.393,0.403,0.401,0.413,0.404,0.407,0.402,0.384,0.395,0.383,0.374,0.373,0.368,0.372,0.365,0.366,0.338,0.334,0.324,0.322,0.324,0.317,0.321,0.315,0.305,0.301,0.302,1742,1717,1647,1840,1770,1772,2164,2191,2178,3133,2894,3004,4289,3800,3650,4492,4262,4377,5063,5056,5080,9023,9315,9268,12294,11464,10900,10726,10486,10955,10783,10986,10241,8954,9162,9154
195,0.431,0.402,0.401,0.426,0.412,0.409,0.43,0.422,0.428,0.41,0.419,0.416,0.433,0.42,0.422,0.421,0.402,0.413,0.404,0.398,0.395,0.406,0.408,0.402,0.404,0.37,0.367,0.354,0.354,0.354,0.344,0.348,0.347,0.335,0.33,0.331,1963,1956,1900,2128,2074,2084,2550,2589,2619,3789,3503,3628,5133,4662,4500,5660,5402,5528,6501,6569,6521,11751,12052,12046,16899,15803,15026,14709,14452,14940,14605,14757,14092,12529,12808,12669
210,0.43,0.403,0.402,0.433,0.419,0.415,0.437,0.431,0.437,0.418,0.427,0.422,0.443,0.427,0.432,0.432,0.415,0.425,0.414,0.408,0.405,0.418,0.418,0.414,0.444,0.401,0.399,0.381,0.381,0.381,0.372,0.373,0.376,0.362,0.356,0.357,2089,2107,2051,2321,2268,2284,2783,2843,2927,4228,3874,4042,5646,5201,5052,6440,6203,6306,7495,7635,7583,14248,14649,14590,21291,19987,19193,19041,18670,19132,18740,18846,18262,16524,16777,16635
225,0.426,0.401,0.396,0.438,0.415,0.411,0.432,0.427,0.438,0.419,0.424,0.42,0.442,0.426,0.432,0.436,0.417,0.426,0.415,0.41,0.407,0.423,0.423,0.42,0.475,0.429,0.426,0.414,0.41,0.415,0.396,0.4,0.4,0.388,0.383,0.384,2194,2226,2154,2485,2389,2422,2908,2991,3100,4476,4071,4230,5906,5443,5295,6847,6617,6722,8036,8230,8195,16087,16432,16466,25531,23939,22940,23065,22416,22968,22643,22562,22298,20417,20699,20401
240,0.424,0.411,0.397,0.432,0.41,0.414,0.422,0.424,0.435,0.417,0.42,0.415,0.439,0.424,0.429,0.432,0.412,0.423,0.408,0.403,0.405,0.423,0.421,0.42,0.492,0.44,0.434,0.435,0.432,0.428,0.424,0.425,0.432,0.414,0.407,0.412,2266,2301,2230,2584,2482,2523,3007,3090,3225,4625,4193,4373,6068,5560,5429,7004,6796,6903,8216,8415,8576,17065,17438,17605,28915,27311,26167,26665,25951,26319,26297,26099,25994,24309,24636,24271
255,0.433,0.42,0.409,0.441,0.422,0.425,0.422,0.437,0.44,0.422,0.424,0.421,0.437,0.431,0.427,0.433,0.412,0.422,0.404,0.4,0.399,0.417,0.42,0.417,0.501,0.444,0.439,0.439,0.438,0.434,0.43,0.432,0.44,0.442,0.436,0.433,2315,2354,2274,2656,2514,2570,3040,3149,3280,4747,4256,4458,6103,5633,5474,7067,6860,6991,8270,8534,8621,17709,17901,18212,31328,29830,28498,29556,28761,29102,29308,29175,29221,27781,28057,27697
270,0.439,0.421,0.412,0.453,0.427,0.427,0.423,0.441,0.448,0.432,0.427,0.422,0.44,0.436,0.434,0.438,0.418,0.431,0.409,0.409,0.403,0.417,0.421,0.418,0.504,0.447,0.442,0.442,0.444,0.438,0.436,0.437,0.446,0.464,0.455,0.46,2342,2350,2311,2719,2546,2596,3096,3187,3358,4860,4304,4521,6142,5696,5565,7125,6939,7076,8324,8609,8691,17791,18205,18559,32906,31654,30280,31747,30929,31133,31609,31416,31828,31043,31370,30859
285,0.437,0.424,0.412,0.456,0.428,0.429,0.43,0.444,0.45,0.437,0.43,0.426,0.446,0.437,0.438,0.443,0.422,0.437,0.418,0.416,0.413,0.425,0.427,0.425,0.506,0.452,0.45,0.445,0.445,0.445,0.439,0.439,0.449,0.471,0.463,0.462,2355,2358,2321,2747,2567,2615,3129,3198,3382,4913,4324,4540,6203,5712,5598,7192,6994,7148,8469,8724,8847,17974,18431,18821,33959,32900,31408,33331,32405,32795,33299,32880,33765,33561,33912,33403
300,0.435,0.422,0.411,0.454,0.43,0.429,0.433,0.443,0.453,0.438,0.43,0.425,0.449,0.438,0.438,0.444,0.424,0.439,0.42,0.418,0.416,0.431,0.432,0.43,0.508,0.457,0.453,0.447,0.45,0.445,0.441,0.442,0.449,0.478,0.47,0.47,2365,2375,2335,2769,2591,2628,3124,3184,3363,4920,4344,4548,6220,5722,5601,7226,7009,7169,8509,8747,8800,18268,18690,19121,34592,33970,32450,34290,33534,33782,34451,34079,35003,35438,35844,35313
315,0.432,0.421,0.41,0.454,0.43,0.429,0.432,0.438,0.449,0.44,0.432,0.427,0.449,0.438,0.439,0.444,0.424,0.44,0.421,0.417,0.417,0.432,0.433,0.432,0.512,0.461,0.455,0.451,0.453,0.451,0.446,0.445,0.456,0.481,0.474,0.477,2372,2387,2341,2781,2606,2637,3111,3195,3357,4917,4351,4562,6224,5722,5608,7227,7012,7158,8518,8735,8815,18400,18734,19258,35109,35337,33538,35342,34183,34975,35371,35010,35991,36921,37223,36679
330,0.43,0.42,0.409,0.454,0.431,0.429,0.429,0.437,0.448,0.44,0.432,0.427,0.449,0.438,0.438,0.442,0.423,0.44,0.421,0.417,0.418,0.432,0.432,0.432,0.512,0.461,0.46,0.453,0.455,0.458,0.453,0.45,0.457,0.483,0.478,0.476,2377,2399,2352,2788,2625,2649,3100,3205,3368,4923,4368,4580,6225,5723,5619,7229,7025,7173,8529,8713,8827,18457,18720,19324,35395,36332,34638,36135,34961,35789,36202,35790,36844,37899,38363,37743
345,0.43,0.42,0.409,0.454,0.432,0.43,0.426,0.438,0.447,0.44,0.433,0.427,0.448,0.437,0.438,0.442,0.422,0.439,0.42,0.416,0.418,0.432,0.432,0.433,0.513,0.462,0.462,0.453,0.461,0.46,0.457,0.458,0.46,0.486,0.48,0.478,2387,2406,2361,2802,2643,2663,3104,3221,3380,4934,4379,4589,6224,5732,5629,7240,7013,7191,8539,8717,8834,18464,18707,19327,35588,36754,34983,36979,36039,36513,36954,36542,37614,38771,39265,38575
360,0.428,0.419,0.407,0.454,0.432,0.429,0.423,0.437,0.446,0.44,0.432,0.427,0.448,0.436,0.437,0.441,0.42,0.438,0.42,0.414,0.417,0.432,0.431,0.432,0.512,0.461,0.458,0.453,0.46,0.458,0.456,0.455,0.466,0.488,0.482,0.482,2398,2420,2375,2817,2661,2680,3119,3239,3394,4949,4371,4583,6227,5738,5630,7243,7016,7192,8553,8709,8846,18461,18674,19369,35854,36951,35214,37850,36663,37381,37713,37097,38296,39404,39990,39329
375,0.429,0.421,0.407,0.455,0.433,0.431,0.423,0.439,0.447,0.441,0.431,0.424,0.448,0.435,0.438,0.441,0.42,0.439,0.42,0.413,0.417,0.432,0.432,0.432,0.512,0.463,0.462,0.452,0.458,0.457,0.456,0.453,0.467,0.491,0.485,0.482,2412,2436,2390,2829,2676,2698,3126,3261,3415,4950,4378,4589,6235,5723,5644,7248,7039,7202,8560,8693,8844,18456,18685,19369,36275,37057,35363,38221,37367,37979,38347,38035,39002,40042,40597,39704
390,0.429,0.422,0.407,0.455,0.434,0.432,0.422,0.439,0.447,0.439,0.43,0.424,0.448,0.435,0.437,0.44,0.419,0.437,0.419,0.413,0.417,0.432,0.431,0.433,0.511,0.463,0.465,0.451,0.46,0.458,0.46,0.455,0.466,0.492,0.487,0.487,2425,2451,2404,2843,2699,2718,3145,3282,3432,4958,4395,4601,6251,5745,5654,7268,7046,7217,8564,8709,8838,18470,18689,19402,36588,37234,35540,38439,37760,38184,39072,38542,39583,40654,41205,40379
405,0.429,0.423,0.407,0.456,0.435,0.434,0.421,0.441,0.448,0.438,0.431,0.423,0.448,0.435,0.437,0.441,0.418,0.438,0.42,0.412,0.417,0.431,0.431,0.433,0.509,0.464,0.467,0.45,0.455,0.456,0.463,0.455,0.471,0.494,0.488,0.485,2438,2467,2421,2864,2714,2736,3157,3298,3456,4979,4410,4618,6268,5746,5672,7284,7051,7231,8570,8709,8851,18483,18678,19410,36701,37403,35751,38762,37800,38367,39517,39117,40295,41222,41763,40897
420,0.43,0.425,0.408,0.458,0.436,0.435,0.42,0.44,0.449,0.437,0.431,0.424,0.45,0.434,0.437,0.44,0.418,0.437,0.419,0.411,0.416,0.43,0.431,0.433,0.507,0.465,0.467,0.449,0.457,0.454,0.463,0.454,0.472,0.497,0.49,0.486,2453,2480,2432,2886,2732,2756,3181,3311,3471,4994,4428,4639,6279,5742,5669,7290,7073,7254,8593,8700,8865,18433,18677,19448,36763,37564,35881,39073,38315,38495,40042,39414,41013,41761,42285,41373
