0,0,1,5,10,15,20,25,50,100,125,150,200,0,1,5,10,15,20,25,50,100,125,150,200
0,0.102,0.098,0.102,0.096,0.095,0.098,0.099,0.099,0.104,0.104,0.101,0.101,354,354,350,348,344,341,341,335,321,315,312,303
15,0.102,0.098,0.103,0.096,0.095,0.098,0.099,0.099,0.104,0.104,0.101,0.101,350,352,340,348,340,340,341,330,316,307,307,300
30,0.102,0.098,0.103,0.096,0.095,0.098,0.099,0.1,0.104,0.105,0.101,0.101,351,358,342,355,343,343,343,335,316,311,305,295
45,0.101,0.098,0.101,0.095,0.095,0.097,0.098,0.099,0.103,0.104,0.1,0.101,345,357,343,354,342,344,347,332,315,308,304,291
60,0.101,0.098,0.102,0.095,0.095,0.098,0.099,0.099,0.103,0.104,0.101,0.101,346,351,340,354,342,344,345,334,313,306,301,291
75,0.102,0.098,0.102,0.095,0.095,0.098,0.098,0.099,0.103,0.105,0.101,0.102,342,352,341,352,342,342,344,333,315,306,301,289
90,0.101,0.098,0.102,0.095,0.095,0.098,0.098,0.099,0.103,0.105,0.101,0.102,342,351,338,351,341,342,341,333,313,302,300,289
105,0.101,0.098,0.101,0.095,0.095,0.097,0.098,0.099,0.103,0.104,0.101,0.102,341,350,337,350,340,343,342,333,313,304,299,287
120,0.102,0.098,0.102,0.095,0.095,0.098,0.098,0.099,0.103,0.104,0.101,0.102,339,350,339,351,340,341,340,330,313,305,300,288
135,0.101,0.098,0.102,0.095,0.095,0.098,0.098,0.099,0.103,0.104,0.101,0.102,341,351,339,351,339,342,340,332,312,304,300,287
150,0.101,0.098,0.101,0.095,0.095,0.097,0.098,0.099,0.103,0.104,0.101,0.102,340,351,336,351,339,342,340,334,312,304,301,289
165,0.101,0.098,0.101,0.095,0.095,0.098,0.1,0.099,0.103,0.104,0.101,0.102,341,350,338,350,337,342,338,332,311,306,301,288
180,0.101,0.097,0.101,0.095,0.095,0.098,0.098,0.099,0.103,0.104,0.101,0.101,344,351,340,353,339,340,342,333,314,306,300,289
195,0.101,0.097,0.101,0.095,0.095,0.098,0.098,0.099,0.103,0.104,0.101,0.102,344,352,340,351,341,341,342,333,315,305,302,288
210,0.101,0.097,0.101,0.095,0.095,0.097,0.098,0.099,0.103,0.104,0.1,0.102,344,352,342,352,342,342,343,333,316,307,302,290
225,0.101,0.097,0.101,0.095,0.095,0.097,0.098,0.098,0.102,0.103,0.1,0.101,345,354,343,354,343,345,342,333,316,308,305,293
240,0.101,0.097,0.101,0.095,0.095,0.097,0.098,0.099,0.102,0.104,0.1,0.101,348,355,346,356,344,346,346,337,317,309,303,294
255,0.101,0.097,0.101,0.095,0.095,0.098,0.098,0.099,0.102,0.104,0.1,0.101,351,354,348,355,346,346,344,338,318,311,307,295
270,0.101,0.097,0.101,0.095,0.094,0.097,0.098,0.098,0.102,0.103,0.1,0.101,353,357,349,355,348,348,347,338,317,310,308,296
285,0.102,0.098,0.101,0.095,0.095,0.098,0.098,0.099,0.103,0.104,0.101,0.102,355,359,349,357,348,350,347,342,319,311,308,296
300,0.101,0.097,0.101,0.095,0.095,0.098,0.1,0.099,0.103,0.104,0.1,0.101,360,357,351,358,350,349,348,340,320,313,309,297
315,0.101,0.097,0.101,0.095,0.095,0.097,0.098,0.099,0.102,0.103,0.1,0.102,360,360,352,360,347,353,348,343,320,312,309,300
330,0.101,0.097,0.101,0.095,0.095,0.097,0.097,0.099,0.102,0.104,0.1,0.101,363,363,355,361,353,352,350,341,322,316,309,300
345,0.101,0.097,0.101,0.095,0.095,0.097,0.098,0.099,0.102,0.104,0.1,0.101,366,362,357,360,353,353,354,347,321,316,312,302
360,0.101,0.097,0.1,0.095,0.094,0.097,0.097,0.098,0.102,0.103,0.1,0.101,366,365,358,359,355,353,352,343,322,316,314,302
375,0.101,0.098,0.1,0.095,0.095,0.098,0.098,0.099,0.102,0.104,0.101,0.102,370,363,359,363,354,354,352,345,324,317,316,304
390,0.101,0.098,0.1,0.095,0.095,0.098,0.098,0.099,0.102,0.104,0.1,0.102,372,365,359,362,358,354,355,344,324,319,315,303
405,0.101,0.098,0.101,0.095,0.095,0.097,0.098,0.099,0.102,0.103,0.1,0.102,371,366,358,361,357,354,357,348,324,317,315,308
420,0.101,0.097,0.101,0.095,0.095,0.098,0.098,0.099,0.102,0.103,0.101,0.102,374,366,359,364,359,358,358,346,327,321,315,305
435,0.101,0.097,0.1,0.095,0.095,0.098,0.098,0.099,0.102,0.103,0.1,0.102,375,368,360,363,361,358,359,350,325,318,316,309
450,0.101,0.097,0.1,0.095,0.095,0.097,0.1,0.099,0.102,0.103,0.1,0.101,377,367,362,364,361,357,360,348,327,319,316,308
465,0.101,0.097,0.1,0.095,0.095,0.098,0.098,0.099,0.102,0.103,0.1,0.102,380,370,364,364,361,363,360,351,327,321,316,310
480,0.101,0.097,0.1,0.095,0.095,0.097,0.098,0.098,0.102,0.103,0.1,0.101,384,371,365,367,364,362,360,354,329,320,319,309
495,0.101,0.097,0.1,0.095,0.095,0.098,0.098,0.099,0.102,0.103,0.1,0.102,382,370,366,368,366,362,364,352,331,320,320,310
510,0.101,0.097,0.1,0.095,0.095,0.097,0.098,0.098,0.102,0.103,0.1,0.101,384,371,369,368,366,365,363,353,332,320,321,309
525,0.101,0.097,0.101,0.095,0.095,0.097,0.101,0.099,0.102,0.103,0.1,0.101,387,373,367,369,367,364,367,356,332,324,320,312
540,0.101,0.097,0.1,0.095,0.094,0.098,0.098,0.099,0.101,0.103,0.1,0.102,386,372,368,370,369,366,366,355,333,324,321,313
