0,0,0,1,1,1,5,5,5,10,10,10,15,15,15,20,20,20,25,25,25,50,50,50,100,100,100,125,125,125,150,150,150,200,200,200,0,0,0,1,1,1,5,5,5,10,10,10,15,15,15,20,20,20,25,25,25,50,50,50,100,100,100,125,125,125,150,150,150,200,200,200
0.54,0.579,0.576,0.575,0.582,0.6,0.556,0.58,0.557,0.58,0.57,0.568,0.558,0.544,0.559,0.514,0.561,0.882,0.529,0.466,0.54,0.463,0.474,0.459,0.438,0.424,0.433,0.419,0.413,0.432,0.41,0.41,0.418,0.397,0.407,0.403,826,700,724,692,591,725,654,640,630,567,572,626,443,452,456,450,454,600,451,442,448,441,440,439,513,493,513,489,488,478,483,489,485,469,461,477
0.494,0.533,0.529,0.535,0.498,0.549,0.543,0.541,0.511,0.486,0.511,0.509,0.517,0.52,0.525,0.545,0.537,0.525,0.513,0.489,0.503,0.431,0.446,0.472,0.392,0.396,0.404,0.381,0.38,0.374,0.375,0.381,0.379,0.378,0.375,0.378,3226,3390,3464,6043,5942,6396,14427,17077,14973,19578,21338,23693,27282,27803,30117,36328,36980,35751,37981,36925,36836,45026,45048,46069,50198,50765,51528,45726,45351,46341,37718,32635,36863,30679,31901,30435
0.095,0.095,0.095,0.098,0.098,0.098,0.098,0.098,0.098,0.096,0.096,0.096,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.096,0.096,0.096,0.094,0.094,0.094,0.095,0.095,0.095,0.099,0.099,0.099,0.095,0.095,0.095,388,388,388,384,384,384,395,395,395,393,393,393,434,434,434,422,422,422,426,426,426,447,447,447,420,420,420,399,399,399,389,389,389,381,381,381
0,0,0,0.25,0.25,0.25,0.5,0.5,0.5,1,1,1,2,2,2,2.5,2.5,2.5,5,5,5,10,10,10,20,20,20,25,25,25,30,30,30,40,40,40,0,0,0,0.25,0.25,0.25,0.5,0.5,0.5,1,1,1,2,2,2,2.5,2.5,2.5,5,5,5,10,10,10,20,20,20,25,25,25,30,30,30,40,40,40
0.453,0.444,0.476,0.442,0.431,0.42,0.45,0.433,0.434,0.423,0.43,0.444,0.438,0.446,0.43,0.437,0.421,0.427,0.427,0.433,0.434,0.402,0.39,0.428,0.394,0.382,0.364,0.341,0.338,0.333,0.34,0.316,0.335,0.289,0.29,0.321,23560,22637,24183,22748,22074,21167,22665,22578,22739,21427,22277,21952,21372,21575,20686,20904,20808,20758,18829,19002,19651,17477,17486,17234,16541,16981,16112,15749,15584,15201,15862,15209,15918,14743,14463,15078
0.563,0.543,0.585,0.521,0.548,0.54,0.559,0.515,0.504,0.541,0.537,0.526,0.522,0.494,0.484,0.503,0.485,0.484,0.489,0.516,0.476,0.447,0.453,0.473,0.428,0.411,0.394,0.4,0.42,0.373,0.387,0.391,0.377,0.416,0.363,0.35,26836,25219,27636,24847,25702,24087,25479,23647,23107,23633,23315,23038,18508,17866,17940,17675,17290,16265,12479,12436,12202,6300,6342,6795,2436,2307,2275,1864,1898,1886,1588,1592,1622,1471,1374,1479
0.097,0.097,0.097,0.1,0.1,0.1,0.101,0.101,0.101,0.096,0.096,0.096,0.101,0.101,0.101,0.098,0.098,0.098,0.099,0.099,0.099,0.101,0.101,0.101,0.101,0.101,0.101,0.098,0.098,0.098,0.098,0.098,0.098,0.099,0.099,0.099,463,463,463,461,461,461,461,461,461,463,463,463,461,461,461,458,458,458,462,462,462,458,458,458,458,458,458,459,459,459,466,466,466,462,462,462
