150,0.405,0.393,0.404,0.397,0.388,0.416,0.362,0.361,0.374,0.291,0.302,0.293,0.261,0.253,0.239,0.215,0.213,0.21,0.196,0.193,0.189,0.166,0.163,0.166,0.169,0.165,0.166,0.164,0.163,0.161,0.168,0.177,0.162,0.161,0.169,0.169,1780,1825,1857,2439,2446,2563,3868,3945,4038,4847,5133,5125,5941,6039,5921,5970,5850,5858,6087,5988,5747,5719,6111,6403,6369,6072,5997,5771,5791,5890,6332,7080,6029,6282,6567,6693
165,0.417,0.41,0.417,0.412,0.399,0.431,0.397,0.398,0.411,0.331,0.345,0.338,0.293,0.286,0.274,0.248,0.245,0.244,0.221,0.218,0.212,0.172,0.169,0.173,0.173,0.168,0.169,0.167,0.166,0.164,0.171,0.181,0.165,0.164,0.173,0.173,2003,2052,2084,2823,2818,2954,4994,4920,5032,5795,6138,6106,6715,6780,6676,6737,6638,6658,6971,6854,6567,6516,6904,7272,7137,6801,6702,6489,6524,6634,7112,7906,6773,7111,7445,7532
180,0.419,0.415,0.42,0.417,0.403,0.432,0.414,0.419,0.419,0.374,0.394,0.388,0.333,0.323,0.306,0.282,0.278,0.277,0.253,0.249,0.245,0.182,0.179,0.183,0.175,0.17,0.172,0.169,0.169,0.166,0.175,0.183,0.168,0.167,0.176,0.176,2135,2209,2235,3071,3089,3189,5945,5911,5839,7204,7612,7717,7753,7810,7685,7557,7497,7517,7978,7802,7541,7408,7897,8309,7928,7492,7407,7190,7214,7337,7876,8749,7521,7930,8292,8370
195,0.418,0.42,0.424,0.418,0.406,0.435,0.418,0.427,0.427,0.389,0.413,0.415,0.384,0.37,0.349,0.317,0.313,0.312,0.282,0.275,0.271,0.196,0.193,0.198,0.179,0.173,0.175,0.172,0.171,0.169,0.177,0.185,0.171,0.171,0.18,0.18,2255,2349,2366,3300,3322,3430,6565,6635,6476,8734,9154,9525,9449,9319,9200,8786,8662,8687,9155,8920,8589,8537,9100,9563,8709,8218,8113,7869,7874,8059,8642,9586,8259,8739,9132,9191
210,0.424,0.427,0.431,0.424,0.413,0.441,0.417,0.425,0.433,0.395,0.421,0.428,0.417,0.403,0.392,0.363,0.356,0.354,0.316,0.308,0.303,0.214,0.211,0.217,0.182,0.175,0.177,0.173,0.173,0.171,0.179,0.187,0.174,0.173,0.182,0.182,2337,2428,2446,3487,3500,3587,7290,7159,6997,9969,10386,11019,11385,11385,11429,10510,10340,10350,10675,10453,9994,9862,10490,10968,9543,8941,8861,8545,8578,8725,9364,10432,9004,9575,9981,10035
225,0.43,0.43,0.432,0.43,0.422,0.445,0.424,0.426,0.436,0.4,0.419,0.435,0.439,0.424,0.412,0.407,0.409,0.399,0.357,0.347,0.344,0.238,0.231,0.237,0.185,0.178,0.18,0.175,0.175,0.174,0.18,0.19,0.176,0.175,0.185,0.185,2402,2492,2516,3664,3669,3729,7922,7578,7432,10992,11288,12125,13231,13361,13706,12820,12696,12692,12696,12537,11898,11383,11936,12467,10416,9731,9602,9256,9262,9529,10154,11306,9759,10382,10831,10900
240,0.43,0.43,0.43,0.43,0.424,0.446,0.432,0.429,0.442,0.403,0.426,0.434,0.444,0.435,0.422,0.427,0.426,0.42,0.391,0.376,0.388,0.254,0.244,0.254,0.188,0.18,0.183,0.177,0.176,0.175,0.183,0.193,0.178,0.178,0.186,0.187,2447,2521,2541,3748,3767,3815,8379,8109,7917,11874,12073,12893,14574,15034,15537,15204,15185,15113,15279,15043,14423,13019,13712,14319,11437,10595,10468,9989,10009,10282,10980,12253,10531,11224,11730,11810
255,0.429,0.429,0.429,0.429,0.424,0.446,0.433,0.441,0.443,0.409,0.436,0.435,0.449,0.438,0.424,0.444,0.44,0.431,0.411,0.392,0.406,0.277,0.268,0.28,0.193,0.184,0.186,0.179,0.178,0.177,0.185,0.195,0.18,0.181,0.188,0.19,2468,2541,2555,3801,3811,3859,8607,8667,8205,12418,12860,13545,15595,16238,17002,17271,17164,17091,17869,17465,17094,15165,15975,16725,12555,11550,11400,10780,10761,11146,11812,13285,11382,12109,12668,12760
270,0.428,0.428,0.428,0.429,0.424,0.447,0.432,0.447,0.443,0.409,0.433,0.441,0.453,0.44,0.43,0.449,0.445,0.437,0.423,0.401,0.414,0.305,0.293,0.317,0.198,0.188,0.191,0.181,0.18,0.18,0.187,0.198,0.183,0.184,0.191,0.194,2486,2552,2584,3822,3847,3897,8717,8965,8407,12787,13329,14008,16265,17099,18277,18648,18573,18477,19778,19279,19391,17445,18581,19739,13688,12597,12529,11663,11577,12039,12808,14281,12307,13124,13695,13782
285,0.428,0.427,0.427,0.429,0.423,0.448,0.432,0.447,0.441,0.414,0.43,0.438,0.459,0.446,0.438,0.448,0.447,0.438,0.428,0.404,0.417,0.336,0.327,0.352,0.204,0.194,0.197,0.184,0.182,0.183,0.191,0.202,0.186,0.187,0.194,0.198,2506,2569,2604,3860,3884,3936,8768,9132,8520,12964,13589,14317,16875,17793,19093,19696,19614,19378,21294,20881,21108,20004,21994,23287,14961,13647,13607,12607,12429,12996,13821,15305,13252,14153,14740,14895
